movie_id,actor_id,role_name
1,246,Sidekick
1,576,Lead
1,759,Rogue
1,993,Supporting
2,162,Guardian
2,265,Rogue
2,408,Wizard
2,420,Spy
2,485,Co‑Lead
2,529,Villain
2,581,Supporting
3,125,Leader
3,142,Villain
3,297,Co‑Lead
3,401,Professor
3,505,Composer
3,712,Spy
3,842,Lead
4,153,Hero
4,161,Antagonist
4,221,Sidekick
4,346,Rogue
5,255,Wizard
5,258,Pilot
5,537,Villain
5,669,Villain
5,720,Lead
5,730,Cameo
5,848,Mentor
5,943,Composer
6,361,Detective
6,745,Explorer
6,806,Supporting
6,858,Pilot
7,126,Explorer
7,144,Pilot
7,567,Cameo
7,897,Detective
7,1000,Spy
8,188,Doctor
8,956,Agent
8,979,Co‑Lead
9,170,Lead
9,242,Professor
9,641,Protagonist
9,655,Supporting
9,735,Agent
9,955,Composer
9,987,Antagonist
10,197,Leader
10,258,Lead
10,543,Guardian
10,669,Wizard
10,700,Pilot
11,265,Lead
11,549,Supporting
11,732,Villain
12,188,Explorer
12,516,Spy
12,706,Doctor
12,875,Co‑Lead
13,66,Engineer
13,73,Spy
13,158,Professor
13,189,Sidekick
13,498,Captain
13,592,Protagonist
13,668,Wizard
14,40,Wizard
14,349,Lead
14,431,Engineer
14,492,Hero
14,674,Professor
14,891,Professor
14,933,Doctor
15,29,Co‑Lead
15,207,Wizard
15,469,Cameo
15,930,Detective
16,498,Spy
16,551,Protagonist
16,553,Pilot
16,570,Supporting
16,890,Villain
17,349,Pilot
17,811,Villain
17,836,Agent
17,942,Pilot
18,241,Villain
18,274,Wizard
18,369,Mentor
18,476,Agent
18,726,Cameo
18,818,Spy
18,823,Hero
18,909,Co‑Lead
18,967,Rogue
19,224,Wizard
19,263,Protagonist
19,329,Lead
19,565,Doctor
19,690,Guardian
20,659,Villain
20,665,Supporting
20,791,Pilot
21,27,Co‑Lead
21,400,Detective
21,430,Hero
21,616,Sidekick
21,816,Villain
22,126,Villain
22,165,Wizard
22,182,Explorer
22,326,Pilot
22,413,Composer
22,683,Captain
22,756,Cameo
23,434,Guardian
23,732,Agent
23,855,Detective
23,878,Rogue
24,21,Composer
24,49,Doctor
24,73,Agent
24,242,Guardian
24,498,Cameo
24,945,Guardian
25,78,Protagonist
25,461,Engineer
25,583,Professor
25,792,Hero
25,839,Hero
