movie_id,category_id
1,58
2,2
2,9
3,34
4,22
5,56
6,18
7,4
8,28
8,60
9,7
9,66
10,59
11,70
12,22
13,14
14,12
14,53
15,8
16,21
17,4
18,81
19,81
19,34
20,13
20,70
21,11
22,31
23,48
24,79
24,74
25,66
26,77
26,65
27,75
28,58
29,19
30,15
31,11
31,57
32,3
33,69
34,65
34,81
35,76
35,38
36,66
37,4
38,10
39,70
39,52
40,34
41,39
42,69
43,18
43,21
44,16
44,58
45,46
45,67
46,66
46,30
47,74
48,57
49,65
50,48
51,57
52,2
52,70
53,23
53,8
54,4
54,34
55,70
56,6
56,54
57,61
58,41
59,61
59,12
60,24
61,25
62,49
63,73
64,11
65,39
66,77
66,52
67,12
68,11
69,21
70,66
71,64
72,76
72,35
73,22
74,77
75,55
76,72
76,65
77,20
78,60
79,51
79,75
80,62
81,7
81,35
82,6
82,76
83,46
83,30
84,16
85,34
86,12
87,75
88,55
89,15
89,46
90,55
90,6
91,64
92,71
92,32
93,23
94,63
94,37
95,71
95,72
96,29
96,43
97,49
97,46
98,14
98,59
99,75
99,51
100,24
100,38
101,6
102,78
102,54
103,37
103,79
104,49
104,50
105,70
106,32
107,34
108,79
109,55
109,4
110,35
111,58
112,66
112,40
113,20
114,9
114,57
115,2
116,20
116,72
117,44
118,14
118,50
119,19
120,21
121,46
122,75
122,32
123,81
123,53
124,36
125,70
125,71
126,17
126,1
127,65
127,74
128,29
128,35
129,69
130,52
130,69
131,65
132,30
132,79
133,6
134,56
135,18
135,34
136,51
137,62
137,20
138,68
139,57
140,78
141,74
142,9
142,55
143,3
143,80
144,9
145,12
146,39
147,10
147,28
148,15
149,76
150,32
150,46
151,77
152,21
153,27
153,53
154,14
155,30
155,28
156,61
157,53
158,1
158,44
159,24
159,32
160,6
160,33
161,42
161,72
162,66
162,13
163,52
163,43
164,3
165,22
165,47
166,36
167,39
168,64
169,19
169,34
170,16
171,79
171,13
172,55
173,41
173,5
174,25
174,38
175,36
175,4
176,73
176,54
177,52
178,9
179,61
180,62
180,9
181,67
181,17
182,34
182,77
183,69
183,74
184,70
184,81
185,6
186,70
186,79
187,1
187,52
188,60
189,71
189,19
190,13
190,35
191,11
192,57
192,35
193,53
194,67
194,14
195,29
196,42
196,80
197,24
198,51
198,81
199,49
200,34
201,70
202,55
203,79
204,69
204,80
205,32
205,75
206,51
207,80
208,71
209,57
210,40
210,65
211,49
211,73
212,40
212,12
213,42
213,44
214,76
214,34
215,41
215,7
216,15
216,16
217,79
218,18
219,77
220,24
221,8
222,62
222,47
223,32
223,49
224,6
224,45
225,15
226,10
226,61
227,11
228,55
229,8
230,30
230,77
231,69
231,72
232,51
232,27
233,54
234,41
235,32
236,53
237,17
237,13
238,66
238,75
239,34
239,42
240,48
241,77
241,8
242,49
242,63
243,1
244,7
245,4
245,77
246,74
246,39
247,18
248,39
248,68
249,75
250,33
251,23
251,7
252,38
252,49
253,49
254,36
254,72
255,79
256,56
257,64
258,53
259,7
259,42
260,56
260,34
261,21
261,2
262,40
263,41
263,55
264,47
264,63
265,57
266,44
267,69
268,4
268,74
269,58
270,40
270,41
271,29
271,25
272,65
272,78
273,4
274,55
275,17
275,32
276,48
277,34
278,52
278,49
279,17
280,24
281,54
281,44
282,38
282,7
283,14
284,51
285,81
285,43
286,78
287,78
288,45
288,30
289,7
290,2
290,55
291,21
291,24
292,16
292,23
293,20
294,38
295,24
296,58
297,55
297,62
298,61
299,40
300,52
300,18
