movie_id,advisory_id
3,1
4,2
4,12
5,5
5,9
6,4
8,1
8,3
9,2
10,1
10,11
11,2
12,2
12,12
13,1
14,7
15,6
15,7
15,8
16,5
17,2
17,4
19,1
19,2
21,1
22,7
23,1
23,2
23,12
27,6
27,8
27,12
28,1
28,7
28,12
29,2
29,4
29,11
31,5
31,6
32,4
32,8
33,2
34,4
34,8
34,10
35,2
35,11
36,4
36,9
37,1
37,6
38,1
38,8
38,12
39,2
39,7
39,11
40,4
40,6
40,11
41,7
41,8
43,11
44,2
45,1
45,12
46,2
46,12
47,1
47,7
47,8
48,10
48,11
52,2
52,6
52,9
53,6
53,7
53,8
54,1
56,2
56,4
56,10
57,6
58,5
58,10
59,1
59,12
60,6
60,8
60,9
61,1
61,2
61,7
62,5
62,8
62,10
63,11
64,4
64,8
65,2
65,4
65,10
66,5
66,12
67,1
68,1
69,12
70,1
71,8
71,12
72,1
72,2
72,12
73,1
74,1
74,3
76,1
76,2
76,11
77,2
77,9
77,10
79,4
80,1
81,5
81,6
82,4
84,1
84,4
84,8
85,8
86,7
86,8
87,2
88,1
88,6
88,7
90,4
90,8
90,10
95,1
96,1
96,2
97,5
97,8
97,10
98,6
98,9
99,2
99,8
99,12
100,1
100,5
100,8
101,6
101,9
102,1
102,6
102,7
105,1
105,5
105,11
107,1
107,6
107,12
108,2
109,1
110,7
110,10
111,4
111,6
111,11
112,1
112,8
113,8
113,10
114,1
115,4
115,8
115,10
116,1
116,4
116,8
117,2
117,4
118,5
118,10
119,1
120,6
120,8
120,9
121,4
121,7
122,6
122,8
122,10
123,1
123,2
123,12
124,1
125,8
125,12
126,2
128,11
130,1
132,6
132,7
133,3
134,1
134,4
134,6
137,1
138,4
138,11
139,1
139,2
139,7
140,2
140,10
141,4
141,6
142,9
142,10
143,2
143,10
144,6
144,10
145,2
145,7
145,8
149,7
149,11
149,12
150,11
151,1
151,2
152,5
152,9
153,1
153,7
153,9
154,4
156,1
156,4
156,12
157,10
158,1
158,4
158,7
159,6
159,8
160,1
160,7
160,9
161,8
161,9
162,10
163,4
163,8
163,12
165,12
166,1
166,12
167,8
167,9
170,5
171,5
172,8
172,10
177,1
177,4
179,9
181,6
181,12
182,1
182,8
182,11
183,1
183,5
184,3
185,8
185,12
188,2
189,1
189,12
190,9
190,12
191,6
192,1
192,6
192,11
194,5
195,1
195,10
196,4
197,1
197,6
197,10
198,6
198,12
199,1
199,2
199,9
200,4
200,6
200,8
203,4
204,5
205,10
206,6
206,10
207,2
207,5
208,1
208,6
208,9
209,6
209,8
210,6
210,10
211,2
211,5
213,12
214,1
