wishlist_id,customer_id,movie_id,date_added
1,847,559,2025-08-24
2,486,976,2025-10-07
3,175,696,2025-08-28
4,613,112,2025-08-26
5,625,286,2025-10-14
6,451,842,2025-09-20
7,35,692,2025-08-30
8,815,879,2025-09-01
9,793,950,2025-10-16
10,486,194,2025-10-11
11,455,653,2025-08-25
12,554,281,2025-08-28
13,585,960,2025-08-17
14,912,581,2025-08-21
15,932,616,2025-10-02
16,227,93,2025-09-10
17,309,106,2025-09-21
18,629,870,2025-10-14
19,297,783,2025-09-24
20,77,156,2025-09-18
21,291,710,2025-09-04
22,331,7,2025-09-06
23,170,306,2025-09-04
24,949,502,2025-08-18
25,402,107,2025-09-08
26,203,69,2025-09-09
27,755,827,2025-09-03
28,102,234,2025-09-18
29,373,841,2025-09-03
30,597,805,2025-09-29
31,695,508,2025-09-16
32,479,245,2025-09-11
33,316,743,2025-09-10
34,768,562,2025-08-17
35,134,562,2025-09-18
36,837,61,2025-09-09
37,739,388,2025-09-29
38,380,206,2025-09-18
39,44,750,2025-10-13
40,858,771,2025-09-10
41,908,149,2025-10-14
42,783,583,2025-09-23
43,775,269,2025-09-29
44,800,228,2025-09-19
45,304,599,2025-08-19
46,319,304,2025-08-25
47,691,601,2025-09-03
48,450,822,2025-10-12
49,69,630,2025-09-02
50,859,866,2025-09-05
51,42,298,2025-08-17
52,829,754,2025-10-13
53,369,274,2025-09-18
54,989,144,2025-08-30
55,304,650,2025-10-05
56,615,627,2025-10-03
57,11,465,2025-08-28
58,887,158,2025-08-19
59,805,715,2025-09-18
60,239,674,2025-09-12
61,186,763,2025-10-11
62,691,697,2025-09-05
63,708,933,2025-10-01
64,821,680,2025-10-06
65,78,271,2025-09-05
66,508,605,2025-09-24
67,115,11,2025-08-31
68,208,198,2025-10-14
69,331,325,2025-09-21
70,367,732,2025-08-19
71,653,686,2025-08-22
72,245,323,2025-08-24
73,107,834,2025-09-19
74,345,413,2025-09-15
75,636,767,2025-09-20
76,873,155,2025-09-05
77,603,471,2025-09-25
78,343,77,2025-09-02
79,845,873,2025-09-13
80,514,835,2025-09-28
81,447,817,2025-10-08
82,99,809,2025-09-26
83,687,78,2025-09-03
84,477,872,2025-10-10
85,353,478,2025-08-31
86,599,892,2025-09-23
87,535,933,2025-08-18
88,296,760,2025-09-04
89,891,937,2025-09-28
90,144,301,2025-08-20
91,443,227,2025-09-16
92,69,56,2025-08-20
93,86,512,2025-09-09
94,99,699,2025-09-09
95,409,923,2025-09-12
96,775,14,2025-09-18
97,375,693,2025-10-16
98,383,948,2025-08-20
99,371,853,2025-10-03
100,534,537,2025-08-23
101,75,843,2025-09-02
102,182,746,2025-09-01
103,805,378,2025-10-05
104,919,338,2025-09-27
105,834,281,2025-10-05
106,884,122,2025-10-08
107,826,613,2025-09-26
108,841,855,2025-10-03
109,252,368,2025-09-16
110,77,267,2025-09-27
111,377,713,2025-10-07
112,950,206,2025-08-29
113,621,60,2025-09-18
114,583,353,2025-09-10
115,323,235,2025-10-11
116,867,606,2025-10-14
117,433,513,2025-10-16
118,449,220,2025-09-24
119,933,348,2025-09-29
120,469,646,2025-09-30
121,746,325,2025-08-17
122,653,37,2025-10-09
123,66,432,2025-08-27
124,620,480,2025-08-17
125,641,453,2025-10-06
126,843,102,2025-09-20
127,261,370,2025-09-17
128,446,121,2025-09-09
129,471,671,2025-08-25
130,833,726,2025-10-14
131,510,352,2025-08-25
132,635,260,2025-09-21
133,651,269,2025-09-16
134,285,216,2025-09-13
135,702,204,2025-10-02
136,324,878,2025-10-02
137,377,803,2025-09-20
138,368,947,2025-09-25
139,780,442,2025-08-19
140,420,395,2025-08-18
141,225,813,2025-09-29
142,965,910,2025-09-16
143,1,147,2025-08-31
144,426,670,2025-10-15
145,334,164,2025-10-08
146,45,428,2025-09-19
147,365,549,2025-08-31
148,151,220,2025-10-03
149,85,549,2025-10-06
150,438,706,2025-09-19
151,172,607,2025-10-04
152,136,656,2025-09-23
153,142,930,2025-08-30
154,115,974,2025-09-29
155,638,309,2025-10-08
156,489,978,2025-09-25
157,978,203,2025-10-04
158,774,117,2025-10-10
159,161,849,2025-08-31
160,405,101,2025-10-01
161,524,677,2025-09-25
162,646,513,2025-09-01
163,382,168,2025-09-24
164,991,445,2025-09-24
165,458,734,2025-09-04
166,685,403,2025-09-29
167,786,104,2025-10-11
168,777,672,2025-09-03
169,169,54,2025-08-20
170,369,196,2025-08-29
171,969,805,2025-09-29
172,198,430,2025-09-02
173,400,395,2025-09-03
174,880,938,2025-08-29
175,107,436,2025-08-26
176,7,3,2025-10-16
177,511,365,2025-09-22
178,220,79,2025-09-22
179,708,654,2025-09-22
180,427,725,2025-09-14
181,318,197,2025-09-08
182,681,325,2025-08-21
183,979,40,2025-09-26
184,942,402,2025-10-09
185,13,817,2025-08-19
186,59,353,2025-08-19
187,436,735,2025-09-18
188,372,870,2025-09-01
189,954,325,2025-09-19
190,142,91,2025-08-30
191,311,327,2025-08-25
192,581,619,2025-09-20
193,419,582,2025-08-26
194,920,454,2025-09-21
195,964,266,2025-10-15
196,158,242,2025-10-03
197,39,886,2025-10-10
198,700,17,2025-10-02
199,526,131,2025-09-19
200,708,34,2025-09-01
201,708,626,2025-10-08
202,729,785,2025-10-12
203,993,188,2025-09-30
204,926,618,2025-09-28
205,893,524,2025-10-02
206,988,657,2025-10-09
207,219,774,2025-09-22
208,927,882,2025-09-15
209,329,368,2025-10-12
210,426,94,2025-09-23
211,236,901,2025-09-30
212,795,241,2025-09-12
213,183,483,2025-10-11
214,782,284,2025-08-19
215,413,760,2025-08-30
216,271,35,2025-08-29
217,568,175,2025-09-04
218,337,61,2025-09-23
219,250,396,2025-09-18
220,829,656,2025-08-28
221,940,22,2025-09-26
222,49,296,2025-09-17
223,270,905,2025-09-11
224,327,312,2025-10-03
225,232,720,2025-09-21
226,508,124,2025-09-21
227,603,88,2025-10-09
228,896,220,2025-09-15
229,388,964,2025-10-01
230,631,729,2025-10-16
231,562,856,2025-10-08
232,843,20,2025-08-29
233,184,599,2025-10-09
234,603,264,2025-09-12
235,428,427,2025-10-08
236,567,730,2025-09-02
237,280,413,2025-09-23
238,879,603,2025-09-03
239,917,145,2025-09-06
240,967,145,2025-10-15
241,187,94,2025-08-20
242,465,375,2025-10-14
243,758,5,2025-10-03
244,399,973,2025-09-02
245,854,320,2025-10-07
246,144,241,2025-09-06
247,124,282,2025-08-17
248,577,74,2025-09-02
249,186,471,2025-08-22
250,78,891,2025-09-24
251,479,903,2025-09-04
252,244,53,2025-09-05
253,582,974,2025-10-13
254,534,645,2025-09-22
255,861,599,2025-09-26
256,966,850,2025-09-08
257,926,472,2025-08-23
258,282,621,2025-09-25
259,910,603,2025-08-25
260,14,945,2025-08-26
261,19,923,2025-10-06
262,114,922,2025-10-13
263,934,118,2025-08-20
264,546,672,2025-10-10
265,998,682,2025-09-28
266,325,338,2025-08-22
267,846,622,2025-10-16
268,146,337,2025-10-14
269,753,147,2025-10-01
270,921,617,2025-09-21
271,893,104,2025-08-26
272,971,423,2025-10-16
273,590,693,2025-09-11
274,670,9,2025-08-22
275,382,144,2025-10-01
276,743,35,2025-10-01
277,145,795,2025-09-20
278,297,172,2025-09-17
279,854,277,2025-08-18
280,842,679,2025-08-21
281,986,722,2025-09-13
282,755,742,2025-10-13
283,34,973,2025-09-25
284,59,896,2025-09-21
285,438,82,2025-09-15
286,490,186,2025-10-14
287,80,252,2025-10-06
288,447,708,2025-09-06
289,477,919,2025-09-21
290,702,686,2025-09-20
291,179,630,2025-10-02
292,831,853,2025-10-12
293,988,922,2025-09-08
294,86,420,2025-09-23
295,597,998,2025-09-04
296,284,475,2025-09-22
